Date,Close (S_t),Daily log returns (using Close): ln(S_(t+1)/S_t),,,T,r_t,d1,d2,BS Price,Delta,Bank,Rdelta,Rbank,Rtotal,,Value at T,S_t= 134.87
7/1/2022,138.929993,,"Standard deviation (volatility, daily)",,0.37,1.27,-0.761581427,-0.852125595,1.54699434,0.222925813,-2942.40873,0,0,0,,,
7/5/2022,141.559998,0.81%,0.94%,,0.36,1.33,-0.556024267,-0.646075002,2.201942478,0.288803534,-3868.108522,932.5650053,-925.8480761,6.716929196,,Call payoff,0
7/6/2022,142.919998,0.42%,Annualized volatility (*sqrt(252),,0.36,1.36,-0.452104618,-0.541659203,2.597257968,0.325269774,-4389.029748,521.1754948,-521.1253712,0.050123591,,Delta Value,0
7/7/2022,146.350006,1.03%,14.99%,,0.35,1.55,-0.181777678,-0.270833348,3.89093242,0.427453606,-5866.690538,1495.460443,-1477.897652,17.56279062,,Bank,0
7/8/2022,147.039993,0.20%,Apple dividend yield  (source: https://finance.yahoo.com/quote/AAPL?p=AAPL),,0.35,1.57,-0.129975381,-0.218529324,4.16513247,0.447852681,-6168.712261,299.9479845,-302.3825596,-2.434575056,,Portfolio,0
7/11/2022,144.869995,-0.65%,0.65%,,0.35,1.58,-0.300273138,-0.388322496,3.235733246,0.381613522,-5204.861578,-959.6066633,963.4663745,3.859711213,,,
7/12/2022,145.860001,0.30%,Continuous dividend:  (log(1+annual D rate)),,0.34,1.63,-0.223365131,-0.310906996,3.606221118,0.411230593,-5637.587359,431.9946006,-433.0521073,-1.057506775,,Fv rebalance,1402.030194
7/13/2022,145.490005,-0.11%,0.28%,,0.34,1.78,-0.249172039,-0.336203452,3.452311105,0.401232866,-5492.306058,-145.4569351,144.9166596,-0.540275526,,,
7/14/2022,148.470001,0.88%,"Interest rates, varying daily (r_t): ",,0.33,1.99,-0.009411748,-0.095929696,4.798198159,0.495780088,-6881.0272,1403.742614,-1389.109078,14.63353692,,Net Profit,-1402.030194
7/15/2022,150.169998,0.49%,https://home.treasury.gov/resource-center/data-chart-center/interest-rates/TextView?type=daily_treasury_yield_curve&field_tdr_date_value=2022,,0.33,1.98,0.121224375,0.035222956,5.647297636,0.547735486,-7660.61392,780.2142014,-780.1300811,0.084120225,,,
7/18/2022,147.070007,-0.91%,Close (S_T),,0.33,1.96,-0.124129783,-0.209611551,4.059848193,0.450193875,-6215.016815,-1434.544541,1444.995223,10.45068166,,,
7/19/2022,151,1.15%,https://finance.yahoo.com/quote/AAPL/history/,,0.32,1.93,0.183061323,0.098102384,6.027114924,0.572107384,-8036.110006,1840.893986,-1821.576562,19.31742396,,,
7/20/2022,153.039993,0.58%,K,,0.32,1.92,0.341459604,0.257026731,7.217861141,0.633055457,-8966.494157,932.7492665,-930.9995911,1.749675426,,,
7/21/2022,155.350006,0.65%,150,,0.31,2.15,0.52945655,0.445553043,8.792782501,0.701136867,-10012.8834,1057.644745,-1047.072378,10.57236703,,,
7/22/2022,154.089996,-0.35%,,,0.31,2.15,0.433733503,0.350362722,7.894113898,0.667177694,-9491.12943,-523.2768832,520.8997319,-2.377151262,,,
7/25/2022,152.949997,-0.32%,,,0.31,2.14,0.345093206,0.262258577,7.11202323,0.634442143,-8992.590064,-500.6902427,497.7296418,-2.960600918,,,
7/26/2022,151.600006,-0.39%,,,0.3,2.17,0.239289131,0.156994147,6.252709795,0.594054975,-8380.602798,-612.2694911,611.2236419,-1.045849227,,,
7/27/2022,156.789993,1.46%,,,0.3,2.14,0.650081055,0.568329278,9.68585374,0.7415588,-10658.31453,2312.712369,-2278.433366,34.2790028,,,
7/28/2022,157.350006,0.16%,,,0.29,2.2,0.69907742,0.617872483,10.0893962,0.757122331,-10904.38071,244.8921696,-246.9712529,-2.079083233,,,
7/29/2022,162.509995,1.40%,,,0.29,2.22,1.10313438,1.022479992,14.26484249,0.864310804,-12619.43019,1741.919821,-1716.00141,25.91841085,,,
8/1/2022,161.509995,-0.27%,,,0.29,2.22,1.032192351,0.952092295,13.37869541,0.848326716,-12363.45482,-258.1589973,254.863707,-3.295290341,,,
8/2/2022,160.009995,-0.41%,,,0.28,2.22,0.920602461,0.841060601,12.09504866,0.820720091,-11922.8369,-441.7335928,439.5288117,-2.204781123,,,
8/3/2022,166.130005,1.63%,,,0.28,2.2,1.400153788,1.321174068,17.41033602,0.918548142,-13518.80714,1625.21746,-1597.020539,28.1969207,,,
8/4/2022,165.809998,-0.08%,,,0.27,2.19,1.383786092,1.305372542,17.08878745,0.916081961,-13480.67607,-40.89174667,36.95091139,-3.940835278,,,
8/5/2022,165.350006,-0.12%,,,0.27,2.21,1.35738385,1.279540588,16.65087842,0.911977658,-13414.46328,-67.86465257,65.04130287,-2.823349699,,,
8/8/2022,164.869995,-0.13%,,,0.27,2.23,1.328972339,1.251703573,16.19592638,0.907392371,-13340.58493,-75.59762448,72.70197568,-2.895648794,,,
8/9/2022,164.919998,0.01%,,,0.26,2.23,1.341367301,1.264677336,16.215597,0.909428942,-13376.74223,33.58712852,-37.33778425,-3.750655729,,,
8/10/2022,169.240005,1.12%,,,0.26,2.24,1.690134726,1.614027963,20.22944482,0.953806407,-14119.27563,751.0442398,-743.7170805,7.327159307,,,
8/11/2022,168.490005,-0.19%,,,0.25,2.24,1.642856571,1.567337514,19.49522915,0.949115204,-14042.11963,-79.04208169,75.90100427,-3.141077419,,,
8/12/2022,172.100006,0.92%,,,0.25,2.23,1.936811943,1.861885202,22.94572226,0.972931188,-14449.5741,409.8730989,-408.7026044,1.170494506,,,
8/15/2022,173.190002,0.27%,,,0.25,2.27,2.036992712,1.962663006,24.0069453,0.978496986,-14545.89497,96.39405668,-97.59947905,-1.205422374,,,
8/16/2022,173.029999,-0.04%,,,0.24,2.26,2.039082069,1.965354233,23.83043302,0.978612308,-14549.88537,1.995416554,-5.300625199,-3.305208645,,,
8/17/2022,174.550003,0.38%,,,0.24,2.22,2.172632184,2.099511172,25.29286251,0.984436253,-14654.04884,101.6569617,-105.4682871,-3.811325422,,,
8/18/2022,174.149994,-0.10%,,,0.23,2.23,2.157973024,2.085463913,24.88754856,0.983886655,-14645.63065,-9.57124884,7.127294893,-2.443953947,,,
8/19/2022,171.520004,-0.66%,,,0.23,2.23,1.96313582,1.89124382,22.29521108,0.974553462,-14486.02026,-160.0829301,158.3144237,-1.768506357,,,
8/22/2022,167.570007,-1.01%,,,0.23,2.27,1.652931372,1.581661825,18.48284288,0.950222623,-14074.59687,-407.7118862,410.1415502,2.429664016,,,
8/23/2022,167.229996,-0.09%,,,0.22,2.28,1.637438538,1.566796929,18.14142829,0.948637211,-14049.91687,-26.51284424,23.41222602,-3.100618222,,,
8/24/2022,167.529999,0.08%,,,0.22,2.29,1.676401752,1.606393713,18.40801002,0.952585057,-14117.85636,66.13826364,-69.21061702,-3.072353372,,,
8/25/2022,170.029999,0.64%,,,0.21,2.42,1.907609527,1.838240843,20.83426059,0.971193388,-14429.77502,316.3974501,-313.2015313,3.195918855,,,
8/26/2022,163.619995,-1.67%,,,0.21,2.39,1.363547523,1.294824144,14.7343397,0.913104468,-13466.78088,-950.45088,961.6084912,11.15761123,,,
8/29/2022,161.380005,-0.60%,,,0.21,2.45,1.174028219,1.105956261,12.71171349,0.879297452,-12918.93137,-545.5776411,546.5723618,0.994720692,,,
8/30/2022,158.910004,-0.67%,,,0.2,2.43,0.954152637,0.886738395,10.55900293,0.829524296,-12126.07063,-790.9452419,791.6047983,0.659556411,,,
8/31/2022,157.220001,-0.46%,,,0.2,2.4,0.800631805,0.733881759,9.145864603,0.787887592,-11472.58234,-654.6122645,652.3190433,-2.293221111,,,
9/1/2022,157.960007,0.20%,,,0.19,2.53,0.881701932,0.815622757,9.72755021,0.810587379,-11831.28379,358.5658513,-359.79402,-1.228168702,,,
9/2/2022,155.809998,-0.60%,,,0.19,2.49,0.678082836,0.612681414,7.997085593,0.750737942,-10897.53916,-932.5140659,932.5568565,0.042790606,,,
9/6/2022,154.529999,-0.36%,,,0.19,2.44,0.554310431,0.48959386,7.007695168,0.709944123,-10269.99694,-630.3868809,626.4654925,-3.921388457,,,
9/7/2022,155.960007,0.40%,,,0.18,2.3,0.698150487,0.634126092,7.985617652,0.757069506,-11008.69478,734.9675063,-739.6921838,-4.724677534,,,
9/8/2022,154.460007,-0.42%,,,0.18,2.57,0.558893623,0.495568969,6.890918853,0.711525236,-10301.12741,-703.4768263,706.5626563,3.085830026,,,
9/9/2022,157.369995,0.81%,,,0.17,2.57,0.861120316,0.798503222,9.058164883,0.805018511,-11762.75942,1471.303622,-1462.682507,8.621115237,,,
9/12/2022,163.429993,1.64%,,,0.17,2.62,1.480673437,1.418771991,14.33796912,0.930206466,-13768.56671,2045.946661,-2007.006847,38.93981346,,,
9/13/2022,153.839996,-2.63%,,,0.17,2.55,0.505581189,0.444403761,6.309984842,0.693099541,-10031.64458,-3647.652839,3735.490714,87.8378746,,,
9/14/2022,155.309998,0.41%,,,0.16,2.54,0.666548313,0.606103575,7.320029522,0.747127542,-10871.63475,839.1088727,-841.0052314,-1.896358681,,,
9/15/2022,152.369995,-0.83%,,,0.16,2.76,0.358323276,0.298620219,5.262591139,0.639663542,-9220.293956,-1637.428914,1650.245061,12.81614665,,,
9/16/2022,150.699997,-0.48%,,,0.15,2.68,0.171420969,0.112468924,4.190504097,0.567806302,-8137.790391,-1082.888585,1081.493778,-1.394807039,,,
9/19/2022,154.479996,1.08%,,,0.15,2.62,0.595430987,0.537239646,6.579699918,0.723915069,-10525.0697,2411.56817,-2388.144715,23.42345519,,,
9/20/2022,156.899994,0.68%,,,0.15,2.57,0.870457642,0.813037081,8.381022877,0.807641088,-11833.7859,1313.661188,-1309.81041,3.850777748,,,
9/21/2022,153.720001,-0.89%,,,0.14,2.59,0.519065706,0.462426413,5.934165803,0.697861964,-10134.1176,-1687.524705,1698.461502,10.93679645,,,
9/22/2022,152.740005,-0.28%,,,0.14,2.73,0.412952202,0.357105107,5.235379914,0.659921234,-9556.099267,-579.506729,576.9768249,-2.529904137,,,
9/23/2022,150.429993,-0.66%,,,0.13,2.67,0.138075463,0.083031964,3.767863087,0.554698987,-7967.550164,-1582.858188,1587.513914,4.655726246,,,
9/26/2022,150.770004,0.10%,,,0.13,2.73,0.180664912,0.126436918,3.909681904,0.571474089,-8225.146878,252.9182196,-258.4408498,-5.522630217,,,
9/27/2022,151.759995,0.28%,,,0.13,2.71,0.302897638,0.249497601,4.439922369,0.618794926,-8946.839251,718.1409987,-722.583382,-4.442383299,,,
9/28/2022,149.839996,-0.55%,,,0.12,2.63,0.060943686,0.008384647,3.27575235,0.524116522,-7525.786521,-1418.661168,1420.090641,1.429473492,,,
9/29/2022,142.479996,-2.19%,,,0.12,2.78,-0.911382699,-0.963087062,0.707271461,0.180986247,-2507.964829,-4888.920021,5017.036304,128.116283,,,
9/30/2022,138.199997,-1.33%,,,0.12,2.79,-1.52953462,-1.580369941,0.188646793,0.063045564,-852.4249963,-1629.940204,1655.263175,25.32297177,,,
10/3/2022,142.449997,1.32%,,,0.11,2.87,-0.951338215,-1.001289376,0.635043442,0.170662992,-2367.589926,1533.01023,-1515.2593,17.7509298,,,
10/4/2022,146.100006,1.10%,,,0.11,2.91,-0.455128739,-0.504179805,1.47963324,0.324410495,-4591.674203,2246.251111,-2224.353904,21.89720729,,,
10/5/2022,146.399994,0.09%,,,0.1,2.89,-0.42470581,-0.472839953,1.524221739,0.335428181,-4758.246195,161.2989164,-167.1021905,-5.803274089,,,
10/6/2022,145.429993,-0.29%,,,0.1,3.05,-0.573734496,-0.620933906,1.178834333,0.282994733,-3997.708771,-762.5395976,759.9917676,-2.547829969,,,
10/7/2022,140.089996,-1.63%,,,0.1,3.03,-1.398250076,-1.444495865,0.234058293,0.080997284,-1111.28509,-2829.782182,2885.93986,56.15767813,,,
10/10/2022,140.419998,0.10%,,,0.09,3.07,-1.378938615,-1.424210699,0.239679005,0.083935282,-1154.651313,41.25536733,-43.49983347,-2.244466141,,,
10/11/2022,138.979996,-0.45%,,,0.09,3.07,-1.646240599,-1.690517571,0.126019847,0.049844871,-680.1420125,-473.7885184,474.3686428,0.580124309,,,
10/12/2022,138.339996,-0.20%,,,0.08,3.35,-1.789872429,-1.833131403,0.086269875,0.036728598,-499.4764225,-181.4505154,180.5827365,-0.86777898,,,
10/13/2022,142.990005,1.44%,,,0.08,3.3,-1.05583796,-1.098054396,0.443259129,0.145488632,-2036.016109,1555.159781,-1536.606081,18.55370004,,,
10/14/2022,138.380005,-1.42%,,,0.08,3.3,-1.883692703,-1.924840195,0.064711979,0.029796955,-405.8590803,-1600.941484,1629.890425,28.94894065,,,
10/17/2022,142.410004,1.25%,,,0.07,3.25,-1.223534681,-1.263584708,0.299698184,0.110541687,-1544.25439,1149.885761,-1138.448455,11.43730588,,,
10/18/2022,143.75,0.41%,,,0.07,3.31,-1.021515508,-1.060437139,0.439577433,0.153475997,-2162.259714,617.1807063,-618.2044701,-1.023763892,,,
10/19/2022,143.860001,0.03%,,,0.06,3.58,-1.032518947,-1.070278475,0.418083178,0.150887579,-2128.860409,-37.23698161,33.11531235,-4.12166926,,,
10/20/2022,143.389999,-0.14%,,,0.06,3.55,-1.161175572,-1.197736078,0.313319217,0.12276469,-1728.990956,-403.2541026,399.567041,-3.687061572,,,
10/21/2022,147.270004,1.16%,,,0.06,3.57,-0.450636346,-0.48595715,1.089402928,0.326074857,-4693.164257,2994.148911,-2964.416852,29.73205898,,,
10/24/2022,149.449997,0.64%,,,0.05,3.56,-0.041216645,-0.075252624,1.886117368,0.483491406,-7037.167181,2352.590278,-2344.667742,7.922535582,,,
10/25/2022,152.339996,0.83%,,,0.05,3.54,0.53717296,0.504472249,3.517673221,0.704331547,-10378.01918,3364.27862,-3341.846072,22.43254804,,,
10/26/2022,149.350006,-0.86%,,,0.04,3.76,-0.074553142,-0.105861689,1.664178622,0.47022737,-6856.428191,-3496.346024,3520.13323,23.78720611,,,
10/27/2022,144.800003,-1.34%,,,0.04,3.75,-1.12087391,-1.150725438,0.28088026,0.131156123,-1871.052674,-4909.751758,4984.35257,74.60081192,,,
10/28/2022,155.740005,3.16%,,,0.04,3.73,1.38368042,1.355360774,6.093586209,0.916679711,-13667.01166,12233.74475,-11796.23739,437.5073604,,,
10/31/2022,153.339996,-0.67%,,,0.03,3.72,0.879041692,0.852341673,3.935931291,0.810238286,-12030.60042,-1632.172768,1634.388447,2.215678896,,,
11/1/2022,150.649994,-0.77%,,,0.03,3.7,0.223635992,0.198660411,1.926343094,0.588433728,-8672.11945,-3341.485533,3356.70516,15.21962658,,,
11/2/2022,145.029999,-1.65%,,,0.02,3.75,-1.409922407,-1.433045301,0.119193029,0.079275987,-1137.820329,-7384.314667,7533.025927,148.7112605,,,
11/3/2022,138.880005,-1.88%,,,0.02,3.73,-3.60608262,-3.627190838,0.000111295,0.000155418,-2.147315762,-1098.826502,1135.503707,36.67720514,,,
11/4/2022,138.380005,-0.16%,,,0.02,3.78,-4.23194768,-4.250827444,6.49E-06,1.16E-05,-0.159640872,-1.990384651,1.987357076,-0.003027574,,,
11/7/2022,138.919998,0.17%,,,0.01,3.66,-4.660522338,-4.676872693,7.08E-07,1.58E-06,-0.02183675,-0.139007657,0.137780178,-0.001227479,,,
11/8/2022,139.5,0.18%,,,0.01,3.65,-5.40930189,-5.422651899,1.02E-08,3.16E-08,-0.000440281,-0.021557706,0.021393297,-0.000164409,,,
11/9/2022,134.869995,-1.47%,,,0,3.71,-11.24414123,-11.25358111,1.38E-30,1.24E-29,-1.67E-25,-0.000426657,0.000440218,1.36E-05,,,
